,id,contains index,contains annotations,volume count,volumes,unenumed volumes
34,ff84240ad9434f86b17d6270663dd9e0,Yes,Yes,1.0,"OrderedDict([('v106', ['pagination', 'durchen'])])","OrderedDict([('v106', [])])"
35,5fd69c101b104fb0a6eaffd3820a0b2b,Yes,Yes,1.0,"OrderedDict([('v107', ['peydurma', 'pagination', 'durchen'])])","OrderedDict([('v107', [])])"
36,0398ca58af15467496b1f1e8f2f8c83c,Yes,Yes,1.0,"OrderedDict([('v005', ['pagination', 'durchen'])])","OrderedDict([('v005', [])])"
37,273421a11c3d48009a0a000a2f67586a,Yes,Yes,1.0,"OrderedDict([('v098', ['pagination', 'durchen'])])","OrderedDict([('v098', [])])"
38,f2c01a63073149d2aeef4fbde5e29674,Yes,Yes,1.0,"OrderedDict([('v105', ['pagination', 'durchen'])])","OrderedDict([('v105', [])])"
39,b2b0420b6d444d23a14ee8465a5816d6,Yes,Yes,1.0,"OrderedDict([('v106', ['pagination', 'durchen'])])","OrderedDict([('v106', [])])"
40,cacd011d4286486ea816a3ba088ad56f,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
41,ec079d05cfc84fe3a1f9418f40e0e1ba,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
42,9837d57d560b4208ac89fc297ea5e280,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
43,01292b0324e54896b68c1471612328aa,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
44,W00000003,No,,,,
45,1fc36f3c19234411af6c0ddb78889f7c,No,Yes,1.0,"OrderedDict([('v001', ['yigchung', 'author', 'book_number', 'sub_title', 'citation', 'book_title', 'tsawa', 'chapter', 'sabche'])])","OrderedDict([('v001', [])])"
